Player,Primary_Position,Pos,Age,G,MP,Offensive_Score,Defensive_Score,Teamwork_Score,Stamina_Score,Overall_Score,Salary_2023_2024,Value_Score
Svi Mykhailiuk,SF,SF,26,41.0,10.1,39.04,26.36,43.03,27.96,34.65,3500000,9.9
Joe Ingles,SF,SF,36,68.0,17.2,27.36,34.99,50.79,24.96,34.64,2087519,16.59
Luka Garza,C,C,25,25.0,4.9,56.7,16.03,35.82,22.84,34.54,2162606,15.97
Josh Minott,SF,SF,21,32.0,2.8,56.54,24.2,31.57,17.39,34.38,2019699,17.02
Johnny Davis,SG,SG,21,50.0,12.3,35.83,28.21,44.34,27.23,34.33,5291160,6.49
Jeenathan Williams,SG,SG,24,22.0,5.9,53.85,19.88,35.67,21.28,34.3,515881,66.49
Dalen Terry,SG,SG,21,59.0,11.5,33.25,32.37,42.14,28.09,34.22,3510480,9.75
Jevon Carter,PG,PG,28,72.0,13.9,31.55,27.13,48.36,28.81,34.1,6500000,5.25
Anthony Gill,PF,PF,31,50.0,9.3,46.34,27.13,37.09,19.95,33.95,2237691,15.17
Jarace Walker,PF,PF,20,33.0,10.3,34.65,37.15,40.79,19.91,33.86,6362520,5.32
Doug McDermott,SF,SF,32,51.0625,14.1015625,42.93,20.04,48.35,17.33,33.44,2087519,16.02
Jeremiah Robinson-Earl,PF,PF,23,39.0,8.6,41.77,31.14,34.69,21.03,33.19,2196970,15.11
Matt Ryan,SF,SF,26,28.0,13.9,41.75,21.73,40.19,25.6,33.12,621439,53.3
Dariq Whitehead,SF,SF,19,2.0,12.0,22.09,43.16,53.71,10.68,32.98,3114240,10.59
JaVale McGee,C,C,36,46.0,7.4,47.58,37.3,27.66,12.32,32.98,2208856,14.93
Keon Johnson,SG,SG,21,5.0,12.2,47.53,29.9,34.32,13.03,32.92,2162606,15.22
Orlando Robinson,C,C,23,36.0,8.4,41.71,29.9,33.13,22.73,32.82,1691610,19.4
Nick Smith Jr.,SG,SG,19,51.0,14.3,33.73,22.66,45.6,27.66,32.72,2587200,12.65
A.J. Lawson,SG,SG,23,42.0,7.4,42.81,25.43,36.9,21.1,32.65,100000,326.5
