Player,Primary_Position,Pos,Age,G,MP,Offensive_Score,Defensive_Score,Teamwork_Score,Stamina_Score,Overall_Score,Salary_2023_2024,Value_Score
Tre Jones,PG,PG,24,77.0,27.8,56.12,54.26,78.4,70.1,64.02,9104167,7.03
Immanuel Quickley,PG,PG,24,51.23529411764706,29.198529411764707,66.97,50.33,78.1,58.38,63.87,32500000,1.97
Alex Caruso,SG,SG,29,71.0,28.7,50.9,73.83,70.62,60.51,63.48,9890000,6.42
Isaiah Stewart,PF,PF,22,46.0,30.9,56.23,66.9,67.94,63.17,63.21,15000000,4.21
Collin Sexton,SG,SG,25,78.0,26.6,74.11,34.22,72.67,71.16,63.19,18350000,3.44
Naz Reid,C,C,24,81.0,24.2,60.49,70.44,59.25,62.24,63.02,13986432,4.51
Wendell Carter Jr.,C,C,24,55.0,25.6,62.66,64.12,62.97,61.67,62.9,11950000,5.26
Jeremy Sochan,PF,PF,20,74.0,29.6,46.82,64.28,72.04,70.9,62.31,5570040,11.19
Mike Conley,PG,PG,36,76.0,28.9,57.66,50.4,80.04,61.34,62.18,9975962,6.23
Aaron Nesmith,SF,SF,24,72.0,27.7,67.14,46.4,67.05,68.28,62.16,11000000,5.65
Harrison Barnes,PF,PF,31,82.0,29.0,68.03,41.31,69.39,69.67,62.02,18000000,3.45
Cameron Johnson,PF,PF,27,58.0,27.6,61.05,53.33,70.41,63.83,62.02,22500000,2.76
Jordan Poole,SG,SG,24,78.0,30.1,55.66,38.69,74.55,83.45,61.7,29651786,2.08
Klay Thompson,SF,SF,33,77.0,29.700000000000003,64.31,49.33,71.25,60.67,61.57,15873016,3.88
Santi Aldama,PF,PF,23,61.0,26.5,48.66,75.99,67.48,55.48,61.56,3960531,15.54
Luguentz Dort,SF,SF,24,79.0,28.4,58.57,45.78,67.21,77.52,61.32,16500000,3.72
Caris LeVert,SG,SG,29,68.0,28.8,53.74,63.51,77.08,49.62,61.19,16615384,3.68
Obi Toppin,PF,PF,25,82.0,21.1,72.72,49.48,58.46,61.72,61.14,12975000,4.71
Ayo Dosunmu,SG,SG,24,76.0,29.1,61.13,43.78,71.35,69.03,60.93,7000000,8.7
Malik Beasley,SG,SG,27,79.0,29.6,54.65,44.39,70.56,78.34,60.8,6000000,10.13
Gary Trent Jr.,SG,SG,25,71.0,28.1,58.79,48.09,70.71,67.18,60.77,2087519,29.11
De'Andre Hunter,SF,SF,26,57.0,29.5,67.28,45.32,66.51,62.45,60.63,21696429,2.79
Jalen Suggs,SG,SG,22,75.0,27.0,54.9,53.8,64.03,69.4,59.81,9188385,6.51
Khris Middleton,SF,SF,32,55.0,27.0,60.82,53.64,72.38,49.89,59.73,31000000,1.93
Amen Thompson,SF,SF,21,62.0,22.4,55.71,71.68,59.82,49.69,59.53,9249960,6.44
De'Anthony Melton,SG,SG,25,38.0,26.9,50.83,63.2,70.56,54.21,59.53,12822000,4.64
Malcolm Brogdon,PG,PG,31,39.0,28.7,62.51,49.17,79.64,42.53,59.46,22500000,2.64
Terance Mann,SG,SG,27,75.0,25.0,65.98,35.92,65.5,71.29,59.41,11423077,5.2
Marvin Bagley III,C,C,24,37.52,21.094,73.34,56.44,56.17,46.09,59.37,12500000,4.75
Bruce Brown,PG,PG,27,50.25373134328358,27.861194029850747,58.49,51.64,68.97,57.44,59.19,23000000,2.57
Andrew Wiggins,SF,SF,28,71.0,27.0,59.74,49.17,66.91,59.9,58.92,26276786,2.24
Luke Kornet,C,C,28,63.0,15.6,87.63,53.33,53.13,28.94,58.69,2087519,28.11
Jaime Jaquez Jr.,SF,SF,22,75.0,28.2,59.92,47.48,67.75,59.24,58.63,3685800,15.91
Brandon Clarke,PF,PF,27,6.0,22.3,64.98,68.29,65.78,28.03,58.62,12500000,4.69
Brandin Podziemski,SG,SG,20,74.0,26.6,46.27,60.42,71.46,58.63,58.58,3519960,16.64
Ausar Thompson,SF,SF,21,63.0,25.1,47.43,70.6,62.13,55.55,58.52,8376000,6.99
Shaedon Sharpe,SG,SG,20,32.0,33.1,53.65,52.1,74.16,54.05,58.47,6614160,8.84
Draymond Green,PF,PF,33,55.0,27.1,33.75,82.0,70.82,48.21,57.97,24107143,2.4
Paul Reed,C,C,24,82.0,19.4,58.69,63.51,55.71,52.43,57.9,3913234,14.8
Trayce Jackson-Davis,PF,PF,23,68.0,16.6,75.73,58.57,50.92,38.98,57.89,1891857,30.6
Tari Eason,PF,PF,22,22.0,21.8,53.09,85.55,59.8,26.89,57.64,3695160,15.6
Jabari Walker,SF,SF,21,72.0,23.6,56.01,59.81,59.94,54.11,57.56,2019699,28.5
Vince Williams Jr.,SG,SG,23,52.0,27.6,47.15,65.66,65.85,52.66,57.55,2120693,27.14
Dillon Brooks,SF,SF,28,72.0,30.899999999999995,56.49,33.45,70.68,72.61,57.5,22255493,2.58
Corey Kispert,SF,SF,24,80.0,25.8,63.9,36.69,64.1,64.84,57.34,5705887,10.05
Malik Monk,SG,SG,25,72.0,26.0,57.67,42.85,71.36,57.36,57.33,17405203,3.29
Isaac Okoro,SF,SF,23,69.0,27.3,59.1,42.54,67.56,60.34,57.32,10185186,5.63
Jaden McDaniels,SF,SF,23,72.0,29.200000000000003,55.44,41.31,65.9,69.36,57.31,23017242,2.49
Mitchell Robinson,C,C,25,31.0,24.8,44.05,80.15,59.12,46.37,57.31,14318182,4.0
Derrick Jones Jr.,SF,SF,26,76.0,23.5,55.67,49.33,57.67,69.14,57.28,9523810,6.01
Kevin Huerter,SG,SG,25,64.0,24.4,52.47,46.4,66.93,65.6,57.19,16830357,3.4
Norman Powell,SG,SG,30,76.0,26.2,70.82,40.39,63.63,49.68,57.19,19241379,2.97
Andre Drummond,C,C,30,79.0,17.1,58.0,81.08,48.59,36.71,57.16,5000000,11.43
Jaden Ivey,SG,SG,21,77.0,28.8,52.11,38.84,69.75,69.25,56.63,7977240,7.1
Jordan Clarkson,SG,SG,31,55.0,30.6,55.06,39.92,76.43,53.89,56.38,14092577,4.0
Tim Hardaway Jr.,SF,SF,31,79.0,26.800000000000004,58.28,43.31,68.04,53.46,56.01,16193183,3.46
Chris Paul,PG,PG,38,58.0,26.4,45.64,58.11,79.28,39.62,55.96,10460000,5.35
GG Jackson II,PF,PF,19,48.0,25.7,58.74,53.49,62.06,46.35,55.78,1891857,29.48
Jalen Smith,C,C,23,61.0,17.2,74.23,50.87,52.7,37.27,55.62,8571429,6.49
Jonathan Isaac,PF,PF,26,58.0,15.8,60.5,71.68,48.86,36.7,55.62,25000000,2.22
Dorian Finney-Smith,PF,PF,30,68.0,28.4,44.07,53.03,68.21,58.84,55.3,14924167,3.71
Payton Pritchard,PG,PG,26,82.0,22.3,56.65,38.69,67.49,58.5,55.24,6696429,8.25
Bennedict Mathurin,SF,SF,21,59.0,26.1,62.34,41.62,63.6,50.97,55.2,7245720,7.62
Sam Hauser,SF,SF,26,79.0,22.0,54.56,47.01,61.29,58.41,55.12,2092344,26.34
Precious Achiuwa,PF,PF,24,57.44594594594594,21.91824324324324,48.42,65.35,56.44,50.48,55.07,6000000,9.18
Marcus Smart,PG,PG,29,20.0,30.3,44.71,61.19,69.02,44.81,54.93,20210284,2.72
Spencer Dinwiddie,PG,PG,30,58.31578947368421,28.30263157894737,50.57,41.27,75.63,52.55,54.91,2087519,26.3
Patrick Williams,PF,PF,22,43.0,27.3,49.37,57.34,62.98,49.02,54.7,18000000,3.04
Moritz Wagner,C,C,26,80.0,17.7,75.65,41.62,48.94,46.55,54.64,11000000,4.97
Ben Simmons,PG,PG,27,15.0,23.9,32.77,77.38,68.69,40.84,54.52,40011909,1.36
Zach Collins,C,C,26,69.0,22.1,51.84,50.56,58.29,58.54,54.47,16741200,3.25
Buddy Hield,SG,SG,31,64.19047619047619,25.719047619047625,52.23,46.82,67.23,50.49,54.28,8780488,6.18
Caleb Martin,SF,SF,28,64.0,27.4,48.65,51.79,67.06,49.19,54.15,9186594,5.89
Taurean Prince,PF,PF,29,78.0,27.0,48.92,46.09,64.01,59.62,54.13,2087519,25.93
Cole Anthony,PG,PG,23,81.0,22.4,53.07,50.25,60.27,52.52,54.06,12900000,4.19
Grant Williams,PF,PF,25,58.06578947368421,28.00131578947369,50.31,41.21,65.77,60.2,53.88,13025250,4.14
Duncan Robinson,SF,SF,29,68.0,28.0,57.17,34.84,68.11,54.63,53.81,19406000,2.77
Robert Williams,C,C,26,6.0,19.8,63.12,79.85,44.57,18.35,53.71,12428571,4.32
Tre Mann,PG,PG,22,32.1219512195122,24.09390243902439,47.06,59.16,64.7,42.99,53.68,4908373,10.94
Kelly Olynyk,C,C,32,60.05128205128205,22.57692307692308,56.9,52.58,61.97,38.18,53.34,12804878,4.17
Eric Gordon,SG,SG,35,68.0,27.8,52.26,46.86,66.58,46.46,53.33,3303771,16.14
Simone Fontecchio,SF,SF,28,53.87878787878788,24.91060606060606,54.99,47.2,62.29,47.25,53.32,7692308,6.93
Bilal Coulibaly,SF,SF,19,63.0,27.2,42.89,59.5,60.74,51.55,53.24,6945240,7.67
Matisse Thybulle,SF,SF,26,65.0,22.9,36.33,65.66,59.27,54.54,53.04,11025000,4.81
Luke Kennard,SG,SG,27,39.0,25.6,52.8,42.85,66.19,49.49,53.0,9250000,5.73
Goga Bitadze,C,C,24,62.0,15.4,57.33,60.58,46.57,44.91,52.97,9057971,5.85
Keyonte George,PG,PG,20,75.0,27.0,43.91,41.31,66.96,63.17,52.87,4084200,12.95
Cason Wallace,SG,SG,20,82.0,20.6,55.47,43.78,58.71,52.75,52.81,5555880,9.51
T.J. McConnell,PG,PG,31,71.0,18.2,60.72,47.63,63.46,34.03,52.79,9300000,5.68
Russell Westbrook,PG,PG,35,68.0,22.5,44.68,61.66,64.34,39.29,52.76,5631296,9.37
Andrew Nembhard,PG,PG,24,68.0,25.0,49.94,31.6,66.83,64.24,52.44,2019699,25.96
Taylor Hendricks,PF,PF,20,40.0,21.4,48.98,60.89,55.96,42.56,52.42,5848680,8.96
Nickeil Alexander-Walker,SG,SG,25,82.0,23.4,46.82,41.16,62.53,62.11,52.39,4312500,12.15
Scotty Pippen Jr.,PG,PG,23,21.0,25.1,49.89,53.18,64.62,39.18,52.25,2087519,25.03
Kyle Anderson,PF,PF,30,79.0,22.6,41.28,55.8,64.67,47.84,52.07,8780488,5.93
Toumani Camara,PF,PF,23,70.0,24.8,44.12,48.86,57.96,59.8,51.9,1891857,27.43
Larry Nance Jr.,C,C,31,61.0,19.9,57.85,59.5,54.76,29.74,51.87,11205000,4.63
Dean Wade,PF,PF,27,54.0,20.5,44.13,55.95,56.24,52.77,51.84,6166667,8.41
Josh Green,SG,SG,23,57.0,26.4,48.48,42.39,64.21,53.21,51.84,12654321,4.1
John Konchar,SF,SF,27,55.0,21.3,33.24,69.36,56.39,50.85,51.58,6165000,8.37
Haywood Highsmith,PF,PF,27,66.0,20.7,48.61,45.93,57.43,54.87,51.4,5200000,9.88
Dyson Daniels,PG,PG,20,61.0,22.3,37.28,62.43,60.02,46.91,51.18,6059520,8.45
Josh Richardson,SG,SG,30,43.0,25.7,57.73,40.39,67.25,34.67,51.16,3051153,16.77
Christian Braun,SG,SG,22,82.0,20.2,51.55,44.86,57.17,50.77,51.13,3089640,16.55
Royce O'Neale,SF,SF,30,60.392405063291136,24.71392405063291,37.17,59.98,66.04,42.28,51.11,9375000,5.45
Nicolas Batum,PF,PF,35,57.15,25.5025,40.96,55.46,64.63,43.16,50.94,4668000,10.91
Kyle Lowry,PG,PG,37,45.81666666666667,28.176666666666662,41.88,47.31,70.91,43.86,50.89,2087519,24.38
Amir Coffey,SF,SF,26,70.0,20.9,57.08,34.37,56.86,53.59,50.65,3938271,12.86
Kevon Looney,C,C,27,74.0,16.1,54.29,48.25,49.5,48.75,50.47,8000000,6.31
Killian Hayes,PG,PG,22,42.0,24.0,35.42,51.48,69.45,47.06,50.27,119972,419.01
Isaiah Jackson,C,C,22,59.0,13.1,71.09,49.48,41.91,30.42,50.26,4435381,11.33
Peyton Watson,SF,SF,21,80.0,18.6,49.29,54.26,52.31,42.01,49.83,2413560,20.65
Julian Champagnie,SF,SF,22,74.0,19.8,44.34,50.25,53.46,52.18,49.67,3000000,16.56
Isaiah Joe,SG,SG,24,78.0,18.5,54.96,41.16,54.46,45.97,49.59,12991650,3.82
Drew Eubanks,C,C,26,75.0,15.6,57.92,52.87,41.72,42.62,49.55,5000000,9.91
Markelle Fultz,PG,PG,25,43.0,21.2,45.35,45.47,60.34,46.48,49.35,731831,67.43
Neemias Queta,C,C,24,28.0,11.9,70.9,48.71,43.36,24.62,49.21,2162606,22.75
Cam Whitmore,SF,SF,19,47.0,18.7,58.27,49.94,52.48,30.61,49.21,3379080,14.56
James Wiseman,C,C,22,63.0,17.3,62.94,46.55,45.75,35.41,49.04,2237691,21.92
Aaron Wiggins,SG,SG,25,78.0,15.7,63.3,37.61,47.48,43.73,49.01,10514017,4.66
Georges Niang,PF,PF,30,82.0,22.3,51.53,37.46,57.15,49.27,48.97,8500000,5.76
Nikola Jovic,PF,PF,20,46.0,19.5,46.94,49.63,55.15,41.61,48.6,2464200,19.72
Kevin Love,PF,PF,35,55.0,16.8,54.05,57.96,53.29,22.39,48.51,3850000,12.6
Duop Reath,C,C,27,68.0,17.9,54.69,38.54,52.79,46.2,48.48,2048780,23.66
Pat Connaughton,SF,SF,31,76.0,22.1,44.89,43.31,60.95,44.62,48.46,9423869,5.14
Cody Martin,SF,SF,28,28.0,26.9,27.52,63.35,67.39,37.47,48.44,8120000,5.97
Scoot Henderson,PG,PG,19,62.0,28.5,38.09,31.29,70.98,57.01,48.4,10259160,4.72
Bol Bol,PF,PF,24,43.0,10.9,69.39,44.7,40.49,28.5,47.81,2087519,22.9
Gary Harris,SG,SG,29,54.0,24.0,48.6,35.61,62.07,43.76,47.75,7500000,6.37
Naji Marshall,SF,SF,26,66.0,19.0,48.03,47.17,52.79,41.64,47.73,8571429,5.57
Jae Crowder,PF,PF,33,50.0,23.1,45.14,46.4,61.22,36.25,47.7,1655619,28.81
Xavier Tillman Sr.,PF,PF,25,41.407407407407405,18.022222222222226,39.22,60.65,53.94,35.54,47.52,2237691,21.24
Dante Exum,PG,PG,28,55.0,19.8,59.44,34.37,58.38,32.4,47.5,3150000,15.08
Moses Moody,SG,SG,21,66.0,17.5,55.56,41.62,51.48,37.48,47.44,5803269,8.17
Jake LaRavia,PF,PF,22,35.0,23.0,50.98,40.69,59.11,35.56,47.36,3352680,14.13
Jarred Vanderbilt,PF,PF,24,29.0,20.0,42.38,60.27,48.16,36.64,47.15,10714286,4.4
Trey Lyles,PF,PF,28,58.0,20.0,48.83,46.4,54.97,35.24,47.04,8000000,5.88
Miles McBride,PG,PG,23,68.0,19.5,56.75,27.13,60.0,40.88,46.98,4710144,9.97
Daniel Theis,C,C,31,59.016666666666666,16.924166666666668,56.45,47.91,49.64,27.78,46.88,2087519,22.46
Talen Horton-Tucker,PG,PG,23,51.0,19.8,45.83,44.08,60.25,34.92,46.82,2087519,22.43
Thomas Bryant,C,C,26,38.0,11.6,66.6,44.08,39.95,29.1,46.81,2087519,22.42
Day'Ron Sharpe,C,C,22,61.0,15.1,52.07,53.8,45.38,31.91,46.8,3989122,11.73
Reggie Jackson,PG,PG,33,82.0,22.2,47.29,28.36,64.48,46.65,46.73,4033748,11.58
Cam Reddish,SF,SF,24,48.0,20.5,40.36,43.31,54.61,49.58,46.5,2463946,18.87
Christian Wood,PF,PF,28,50.0,17.4,47.08,62.89,46.19,24.51,46.3,3036040,15.25
Malaki Branham,PG,PG,20,75.0,21.3,45.41,29.44,57.37,54.45,46.22,3217920,14.36
Dalano Banton,PG,PG,24,40.66666666666666,19.38888888888889,44.21,47.78,55.71,35.09,46.15,2196970,21.01
Kris Murray,SF,SF,23,62.0,21.7,34.49,46.4,56.16,50.05,46.0,2990040,15.38
Lamar Stevens,PF,PF,26,28.5,14.7,52.86,50.75,47.87,27.09,45.93,623856,73.62
Gradey Dick,SG,SG,20,60.0,21.1,48.69,31.6,56.19,46.41,45.84,4763760,9.62
Jose Alvarado,PG,PG,25,56.0,18.4,42.55,45.63,56.17,37.19,45.65,1988598,22.96
Lonnie Walker IV,SG,SG,25,58.0,17.4,48.55,41.31,51.7,37.85,45.39,780932,58.12
Keon Ellis,SG,SG,24,57.0,17.2,45.95,40.69,51.23,42.01,45.17,2120693,21.3
Jordan Goodwin,PG,PG,25,45.07017543859649,18.516666666666666,34.34,52.88,57.85,35.65,45.11,223718,201.64
Chris Boucher,PF,PF,31,50.0,14.1,60.03,46.24,43.75,22.3,44.97,10810000,4.16
Ziaire Williams,SF,SF,22,51.0,20.4,40.39,44.86,52.35,42.42,44.9,6133005,7.32
Bruno Fernando,C,C,25,45.0,15.2,54.23,46.86,41.48,31.99,44.75,1115128,40.13
Sam Merrill,SG,SG,27,61.0,17.5,50.51,28.36,58.59,38.88,44.67,2164993,20.63
Ochai Agbaji,SG,SG,23,60.34615384615385,21.025,36.79,42.54,54.12,46.85,44.57,4310280,10.34
Delon Wright,PG,PG,31,37.17021276595744,15.782978723404254,47.34,47.98,57.65,18.62,44.33,2087519,21.24
Mo Bamba,C,C,25,57.0,13.0,43.27,55.18,39.84,37.96,44.33,2207491,20.08
Noah Clowney,PF,PF,19,23.0,16.1,55.27,47.63,45.37,21.59,44.15,3244080,13.61
Vit Krejci,PG,PG,23,22.0,24.6,44.54,32.68,61.18,36.58,44.14,2162606,20.41
Jaxson Hayes,C,C,23,70.0,12.5,64.32,36.69,35.59,33.0,43.97,2463946,17.85
Mason Plumlee,C,C,33,46.0,14.7,54.69,51.95,42.46,19.59,43.93,2087519,21.04
Quentin Grimes,SG,SG,23,45.70588235294117,20.09117647058824,40.88,34.78,57.35,41.08,43.51,4296682,10.13
Jeff Green,PF,PF,37,78.0,16.8,56.9,32.22,49.04,29.83,43.35,8000000,5.42
Marcus Sasser,PG,PG,23,71.0,19.0,42.03,33.45,56.63,40.86,43.3,2755080,15.72
Kris Dunn,PG,PG,29,66.0,18.9,33.32,45.32,57.32,38.23,43.3,5168000,8.38
Josh Okogie,SG,SG,25,60.0,16.0,44.34,41.16,47.21,39.25,43.24,8250000,5.24
Javon Freeman-Liberty,PG,PG,24,22.0,18.3,48.66,41.46,50.24,28.52,43.23,100000,432.3
Dominick Barlow,PF,PF,20,33.0,12.7,56.18,38.84,48.94,21.38,43.08,491887,87.58
Aaron Holiday,PG,PG,27,78.0,16.3,49.44,26.2,51.21,43.62,42.91,4668000,9.19
Gary Payton II,SG,SG,31,44.0,15.5,56.24,39.46,47.95,20.79,42.88,9130000,4.7
Alec Burks,SG,SG,32,51.01515151515152,18.393181818181816,53.06,35.74,55.23,21.01,42.86,2087519,20.53
Torrey Craig,SF,SF,33,53.0,19.8,43.45,43.62,54.8,25.47,42.73,3625162,11.79
Kevin Knox,SF,SF,24,31.0,18.1,52.14,30.83,50.41,33.12,42.58,503883,84.5
Trendon Watford,PF,PF,23,63.0,13.6,55.06,36.53,41.87,31.81,42.48,2726603,15.58
Jock Landale,C,C,28,56.0,13.6,55.49,37.76,45.81,24.32,42.4,8000000,5.3
