Player,Pos,Age,G,MP,Offensive_Score,Defensive_Score,Teamwork_Score,Stamina_Score,Overall_Score
Paolo Banchero,PF,21,80.0,35.0,67.05,83.08,83.55,93.41,80.45
Tyrese Maxey,PG,23,70.0,37.5,82.55,55.8,94.44,89.94,80.31
Tyrese Haliburton,PG,23,69.0,32.2,71.8,73.53,98.44,77.81,80.09
Nikola Vucevic,C,33,76.0,34.3,67.76,96.03,83.66,73.05,79.86
Alperen Sengun,C,21,63.0,32.5,75.66,84.32,82.52,75.04,79.42
Evan Mobley,PF,22,50.0,30.6,75.52,100.0,74.02,66.06,79.37
Jalen Johnson,SF,22,56.0,33.7,67.21,100.0,79.16,70.26,79.01
Nic Claxton,C,24,71.0,29.800000000000004,70.69,100.0,70.65,74.81,78.83
Kristaps Porziccis,C,28,57.0,29.6,85.84,93.56,70.48,58.29,78.42
Tobias Harris,PF,31,70.0,33.8,73.71,83.55,80.58,74.52,78.05
Jimmy Butler,PF,34,60.0,34.0,86.0,69.83,85.72,64.26,77.54
Zion Williamson,PF,23,70.0,31.5,82.75,68.9,78.75,78.34,77.41
Daniel Gafford,PF,25,56.36486486486486,24.52027027027027,87.24,92.65,62.34,62.03,77.33
Fred VanVleet,PG,29,73.0,36.8,62.21,68.29,97.62,85.25,77.19
Myles Turner,C,27,77.0,27.0,77.88,87.55,64.73,76.07,76.65
Damian Lillard,PG,33,73.0,35.3,77.46,59.81,90.08,79.6,76.63
Paul George,PF,33,74.0,33.8,79.03,75.07,78.57,72.35,76.59
Michael Porter Jr.,SF,25,81.0,31.7,70.56,76.45,73.99,88.84,76.55
Pascal Siakam,PF,29,60.0125,33.206875000000004,83.39,66.78,83.12,68.88,76.27
Jaylen Brown,SF,27,70.0,33.5,75.94,66.59,78.78,85.05,76.13
Victor Wembanyama,C,20,71.0,29.699999999999996,64.14,100.0,70.78,70.88,76.11
Jaren Jackson Jr.,C,24,66.0,32.2,71.88,78.3,72.86,81.71,75.7
Ja Morant,PG,24,9.0,35.3,77.36,70.44,92.99,56.91,75.45
Jalen Duren,C,20,61.0,29.1,73.94,94.18,66.83,64.02,75.24
James Harden,PG,34,72.0,34.3,60.91,80.15,90.9,70.97,75.23
Jamal Murray,PG,26,59.0,31.5,74.21,64.43,85.36,77.21,75.15
Karl-Anthony Towns,PF,28,62.0,32.7,77.4,78.77,72.69,69.65,75.02
Brandon Ingram,SF,26,64.0,32.9,73.15,64.28,82.8,80.93,74.9
Mikal Bridges,SF,27,82.0,34.8,66.41,64.74,80.64,92.79,74.83
Jalen Williams,PF,22,71.0,31.300000000000004,80.92,59.96,79.14,78.26,74.7
Julius Randle,PF,29,46.0,35.4,71.74,74.14,83.34,68.66,74.62
Ivica Zubac,C,26,68.0,26.4,79.62,81.39,63.97,70.44,74.31
Trae Young,PG,25,54.0,36.0,69.13,49.02,97.89,84.1,74.29
Franz Wagner,SF,22,72.0,32.5,74.7,65.2,78.42,79.89,74.29
Stephen Curry,PG,35,74.0,32.7,80.43,60.42,80.75,71.83,73.79
Jabari Smith Jr.,PF,20,76.0,31.900000000000002,62.22,81.39,73.37,80.87,73.53
Derrick White,SG,29,73.0,32.6,65.19,72.29,83.24,74.95,73.43
Clint Capela,C,29,73.0,25.8,69.42,92.79,67.52,62.15,73.33
Devin Vassell,SG,23,68.0,33.1,71.84,64.28,81.14,76.79,73.26
Kyle Kuzma,PF,28,70.0,32.6,68.1,73.37,78.37,74.09,73.18
Coby White,PG,23,79.0,36.5,66.2,50.56,86.77,93.68,72.93
Brook Lopez,C,35,79.0,30.5,65.02,84.78,71.65,70.89,72.79
Keegan Murray,SF,23,77.0,33.6,65.92,65.82,78.89,83.19,72.59
John Collins,PF,26,68.0,28.0,73.82,78.0,65.84,71.76,72.46
Mark Williams,C,22,19.0,26.7,85.9,83.24,68.22,42.12,72.06
Deni Avdija,SF,23,75.0,30.1,62.72,76.61,72.04,78.8,71.74
Aaron Gordon,PF,28,73.0,31.5,70.26,64.59,78.1,73.82,71.51
Jalen Green,SG,21,82.0,31.700000000000003,62.56,68.44,74.75,84.67,71.5
Desmond Bane,SG,25,42.0,34.4,74.67,53.18,84.75,69.59,70.8
Austin Reaves,SG,25,82.0,32.1,66.5,54.41,80.55,85.06,70.7
Cade Cunningham,PG,22,62.0,33.5,66.48,55.34,87.19,75.39,70.65
CJ McCollum,PG,32,66.0,32.7,69.98,62.74,82.21,66.61,70.55
Nick Richards,C,26,67.0,26.3,79.62,73.99,58.73,65.97,70.26
D'Angelo Russell,PG,27,76.0,32.7,64.06,50.1,84.92,85.77,70.13
Grayson Allen,SG,28,75.0,33.5,69.52,57.5,76.63,76.49,69.69
Isaiah Hartenstein,C,25,75.0,25.3,64.72,83.55,63.87,66.95,69.66
Tyler Herro,SG,24,42.0,33.5,66.14,63.04,81.3,68.12,69.55
Walker Kessler,C,22,64.0,23.3,68.47,98.19,56.3,50.58,69.28
Jakob Poeltl,C,28,50.0,26.4,70.21,85.7,65.81,51.61,69.26
Terry Rozier,PG,29,45.75409836065574,33.43360655737705,68.82,59.61,86.3,60.45,69.21
Jusuf Nurkic,C,29,76.0,27.3,46.45,100.0,68.22,64.86,68.96
Tyus Jones,PG,27,66.0,29.3,60.31,58.11,87.15,71.82,68.77
Josh Hart,SF,28,81.0,33.4,44.22,84.32,79.89,72.23,68.76
Jonas Valancicnas,C,31,82.0,23.5,69.89,76.92,61.7,64.24,68.47
Herbert Jones,SF,25,76.0,30.5,64.29,57.8,71.4,84.3,68.45
Jrue Holiday,PG,33,69.0,32.8,54.35,73.37,80.37,67.51,68.24
Saddiq Bey,SF,24,63.0,32.7,62.5,59.19,77.5,76.5,68.22
Dereck Lively II,C,19,55.0,23.5,80.79,74.91,58.39,53.25,68.21
Trey Murphy III,SF,23,57.0,29.6,69.89,70.91,75.01,53.61,68.17
Bradley Beal,SG,30,53.0,33.3,69.15,56.11,80.42,64.56,67.79
RJ Barrett,SG,23,43.6551724137931,31.70344827586207,72.24,56.8,74.68,63.77,67.3
LaMelo Ball,PG,22,22.0,32.3,65.46,59.81,87.28,52.49,66.91
Jerami Grant,PF,29,54.0,33.9,72.79,51.18,76.22,65.82,66.85
OG Anunoby,SF,26,37.58,34.018,62.88,64.87,74.35,65.85,66.84
Brandon Miller,SF,21,74.0,32.2,61.18,55.34,73.68,79.23,66.46
Javonte Green,SF,30,9.0,25.6,80.64,84.32,63.4,25.35,66.19
Rui Hachimura,PF,25,68.0,26.9,75.81,54.72,67.37,64.64,66.19
Zach LaVine,SG,28,25.0,34.9,69.32,62.43,80.23,48.02,66.06
Anfernee Simons,SG,24,46.0,34.4,68.87,39.92,84.07,71.79,66.02
Cam Thomas,SG,22,66.0,31.400000000000002,74.35,41.77,74.76,72.58,65.95
Donte DiVincenzo,SG,27,81.0,29.099999999999998,59.66,58.27,71.61,76.44,65.66
P.J. Washington,PF,25,55.52054794520548,30.395890410958906,53.39,72.57,71.01,67.47,65.41
Al Horford,C,37,65.0,26.8,60.38,81.39,70.35,46.2,65.29
Darius Garland,PG,24,57.0,33.4,56.92,47.63,82.96,77.01,65.13
Josh Giddey,SG,21,80.0,25.1,51.5,73.06,69.4,69.96,65.06
Max Strus,SF,27,70.0,32.0,47.88,57.03,77.56,82.54,64.52
Kelly Oubre Jr.,SF,28,68.0,30.2,61.88,59.65,70.75,66.65,64.49
Bobby Portis,PF,28,82.0,24.5,67.61,72.6,63.38,51.01,64.48
Keldon Johnson,SF,24,69.0,29.5,64.83,54.87,73.35,64.76,64.46
Onyeka Okongwu,C,23,55.0,25.5,78.68,61.5,64.78,45.37,64.25
